HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,18944,1,1
1,65824,17,17
2,7104,83,83
3,928,95,95
4,928,107,107
5,896,119,119
6,768,130,130
7,207616,164,164
8,13613120,179,179
