HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,30176,1,1
1,71456,17,17
2,72800,52,52
3,4288,123,123
4,736,135,135
5,704,147,147
6,736,159,159
7,704,170,170
8,5984,191,191
9,704,229,229
10,13754752,242,242
