HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,29184,1,1
1,66496,17,17
2,161280,52,52
3,8000,123,123
4,928,135,135
5,1408,147,147
6,2880,159,159
7,896,170,170
8,24704,191,191
9,7424,224,224
10,1792,260,260
11,13701792,273,273
