HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,28768,1,1
1,68384,17,17
2,736,47,47
3,704,64,64
4,704,81,81
5,800,98,98
6,768,115,115
7,736,132,132
8,736,149,149
9,864,166,166
10,832,183,183
11,896,200,200
12,800,217,217
13,704,234,234
14,736,251,251
15,736,268,268
16,736,285,285
17,736,302,302
18,736,319,319
19,736,336,336
20,704,353,353
21,704,370,370
22,704,387,387
23,704,404,404
24,704,421,421
25,704,438,438
26,736,455,455
27,704,472,472
28,736,489,489
29,736,506,506
30,736,523,523
31,704,540,540
32,704,557,557
33,704,574,574
34,736,591,591
35,704,608,608
36,736,625,625
37,704,642,642
38,704,659,659
39,704,676,676
40,736,693,693
41,736,710,710
42,736,727,727
43,736,744,744
44,736,761,761
45,704,778,778
46,736,795,795
47,736,812,812
48,704,829,829
49,736,846,846
50,736,863,863
51,736,880,880
52,704,897,897
53,704,914,914
54,704,931,931
55,704,948,948
56,736,965,965
57,736,982,982
58,704,999,999
59,736,1016,1016
60,736,1033,1033
61,736,1050,1050
62,768,1067,1067
63,736,1084,1084
64,704,1101,1101
65,736,1118,1118
66,736,1135,1135
67,35424,1152,1152
68,736,1173,1173
69,15063360,1180,1180
