HUD frame time nsec:,16459000

Range Index,Elapsed Time, First Event,Last Event
93,4224,1591,1591
94,4224,1605,1605
95,4128,1619,1619
96,4320,1633,1633
97,4416,1647,1647
98,4384,1661,1661
99,4224,1675,1675
100,768,1700,1700

Range Index,Elapsed Time, First Event,Last Event,gpu__draw_count,Cycles,smsp__inst_executed_fs_pct,Cycles,smsp__inst_executed_vs_pct,Cycles,DispatchLaunchDimZAvg,Cycles,ia__prim_count,Cycles,sm__busy_pct_avg,Cycles,DispatchLaunchDimXAvg,Cycles,gpu__shaded_fragments,Cycles,lts__request_tex_read_utilization_pct,Cycles,gpu__dispatch_count,Cycles,smsp__inst_executed_cs_sum,Cycles,DispatchLaunchDimYAvg,Cycles,DispatchTotalThreads,Cycles,DispatchKernelDimXAvg,Cycles,sm__sol_pct,Cycles,DispatchKernelDimYAvg,Cycles,sm__tex_utilization_pct,Cycles,DispatchKernelDimZAvg,Cycles,smsp__inst_executed_tcs_pct,Cycles,fbpa__sol_pct,Cycles,smsp__inst_executed_cs_pct,Cycles,smsp__inst_executed_tes_pct,Cycles,smsp__inst_executed_gs_pct,Cycles,ia__sol_pct,Cycles,tex__sol_pct,Cycles,ia__busy_pct_avg,Cycles,tex__busy_pct_avg,Cycles,ltc__sol_pct,Cycles,lts__busy_pct_avg,Cycles,crop__sol_pct,Cycles,crop__busy_pct_avg,Cycles,zrop__sol_pct,Cycles,zrop__busy_pct_avg,Cycles,fbpa__busy_pct_avg,Cycles,lts__request_ia_read_utilization_pct,Cycles,tex__sm_utilization_pct,Cycles,lts__request_tex_write_utilization_pct,Cycles,xfb__lts_utilization_pct,Cycles,crop__lts_write_utilization_pct,Cycles,zrop__lts_write_utilization_pct,Cycles,crop__lts_read_utilization_pct,Cycles,zrop__lts_read_utilization_pct,Cycles,dram__write_pct,Cycles,dram__read_pct,Cycles,lts__request_total_sectors_hitrate_pct,Cycles
0,371456,18,1700,101,1,77.664,1,22.3362,1,0,1,132032,1,52.0759,1,0,1,4.40681e+006,1,3.90282,1,0,1,0,1,0,1,0,1,0,1,17.5082,1,0,1,5.75799,1,0,1,0,1,31.711,1,0,1,0,1,0,1,10.3905,1,6.62824,1,36.532,1,43.1484,1,37.1243,1,0,1,40.9869,1,40.2123,1,14.7977,1,50.6201,1,1.#QNAN,1,1.59316,1,5.56405,1,0,1,0,1,37.1161,1,7.81008,1,7.46256,1,3.52689,1,23.4737,1,8.23729,1,83.5722,1
