HUD frame time nsec:,16459000

Range Index,Elapsed Time, First Event,Last Event
0,20704,2,2
1,58528,18,18
2,704,48,48
3,736,65,65
4,736,82,82
5,704,99,99
6,704,116,116
7,864,133,133
8,736,150,150
9,736,167,167
10,736,184,184
11,736,201,201
12,736,218,218
13,704,235,235
14,704,252,252
15,736,269,269
16,704,286,286
17,736,303,303
18,704,320,320
19,736,337,337
20,736,354,354
21,736,371,371
22,704,388,388
23,672,405,405
24,704,422,422
25,768,439,439
26,704,456,456
27,704,473,473
28,736,490,490
29,768,507,507
30,736,524,524
31,704,541,541
32,704,558,558
33,704,575,575
34,736,592,592
35,736,609,609
36,736,626,626
37,736,643,643
38,704,660,660
39,736,677,677
40,736,694,694
41,736,711,711
42,736,728,728
43,736,745,745
44,736,762,762
45,736,779,779
46,928,796,796
47,736,813,813
48,704,830,830
49,704,847,847
50,704,864,864
51,736,881,881
52,704,898,898
53,704,915,915
54,736,932,932
55,704,949,949
56,768,966,966
57,736,983,983
58,736,1000,1000
59,704,1017,1017
60,736,1034,1034
61,736,1051,1051
62,736,1068,1068
63,704,1085,1085
64,736,1102,1102
65,736,1119,1119
66,736,1136,1136
67,704,1153,1153
68,704,1170,1170
69,736,1187,1187
70,768,1204,1204
71,704,1221,1221
72,768,1238,1238
73,704,1255,1255
74,768,1272,1272
75,736,1289,1289
76,768,1306,1306
77,768,1323,1323
78,960,1340,1340
79,928,1357,1357
80,29056,1378,1378
81,9312,1388,1388
82,5056,1409,1409
83,4576,1423,1423
84,4192,1437,1437
85,4192,1451,1451
86,4320,1465,1465
87,4320,1479,1479
88,4256,1493,1493
89,4288,1507,1507
90,4192,1521,1521
91,4352,1535,1535
92,4320,1549,1549
93,4224,1563,1563
94,4320,1577,1577
95,4320,1591,1591
96,4480,1605,1605
97,4416,1619,1619
98,4352,1633,1633
99,4288,1647,1647
100,4320,1661,1661
101,19520,1675,1675
102,28800,1685,1685
103,1024,1700,1700
104,14069280,1715,1715

Range Index,Elapsed Time, First Event,Last Event
0,58336,18,18
1,736,48,48
2,736,65,65
3,768,82,82
4,736,99,99
5,704,116,116
6,768,133,133
7,736,150,150
8,736,167,167
9,704,184,184
10,704,201,201
11,704,218,218
12,736,235,235
13,704,252,252
14,736,269,269
15,736,286,286
16,736,303,303
17,704,320,320
18,736,337,337
19,768,354,354
20,736,371,371
21,704,388,388
22,736,405,405
23,736,422,422
24,736,439,439
25,736,456,456
26,896,473,473
27,736,490,490
28,704,507,507
29,704,524,524
30,704,541,541
31,704,558,558
32,672,575,575
33,736,592,592
34,704,609,609
35,736,626,626
36,704,643,643
37,736,660,660
38,736,677,677
39,736,694,694
40,704,711,711
41,704,728,728
42,736,745,745
43,704,762,762
44,704,779,779
45,704,796,796
46,736,813,813
47,704,830,830
48,736,847,847
49,736,864,864
50,736,881,881
51,736,898,898
52,704,915,915
53,704,932,932
54,736,949,949
55,736,966,966
56,704,983,983
57,704,1000,1000
58,896,1017,1017
59,736,1034,1034
60,736,1051,1051
61,704,1068,1068
62,704,1085,1085
63,704,1102,1102
64,736,1119,1119
65,704,1136,1136
66,736,1153,1153
67,736,1170,1170
68,736,1187,1187
69,736,1204,1204
70,768,1221,1221
71,736,1238,1238
72,704,1255,1255
73,736,1272,1272
74,736,1289,1289
75,864,1306,1306
76,736,1323,1323
77,864,1340,1340
78,928,1357,1357
79,28288,1378,1378
80,5120,1409,1409
81,4224,1423,1423
82,4192,1437,1437
83,4576,1451,1451
84,4608,1465,1465
85,4448,1479,1479
86,4160,1493,1493
87,4256,1507,1507
88,4256,1521,1521
89,4320,1535,1535
90,4384,1549,1549
91,4192,1563,1563
92,4384,1577,1577
