HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7648,1,1
1,5408,17,17
2,15744,39,39
3,4608,96,96
4,736,108,108
5,704,120,120
6,736,132,132
7,736,143,143
8,14102432,158,158
