HUD frame time nsec:,16448000

Range Index,Elapsed Time, First Event,Last Event
0,29920,1,1
1,65856,17,17
2,768,47,47
3,736,58,58
4,768,75,75
5,864,86,86
6,736,103,103
7,736,114,114
8,704,131,131
9,736,142,142
10,736,159,159
11,736,170,170
12,704,187,187
13,704,198,198
14,768,215,215
15,704,226,226
16,736,243,243
17,704,254,254
18,704,271,271
19,736,282,282
20,704,299,299
21,704,310,310
22,736,327,327
23,704,338,338
24,704,355,355
25,736,366,366
26,704,383,383
27,704,394,394
28,736,411,411
29,736,422,422
30,704,439,439
31,736,450,450
32,736,467,467
33,704,478,478
34,704,495,495
35,736,506,506
36,736,523,523
37,704,534,534
38,704,551,551
39,736,562,562
40,736,579,579
41,704,590,590
42,736,607,607
43,736,618,618
44,704,635,635
45,704,646,646
46,704,663,663
47,704,674,674
48,704,691,691
49,736,702,702
50,736,719,719
51,736,730,730
52,704,747,747
53,736,758,758
54,704,775,775
55,736,786,786
56,736,803,803
57,704,814,814
58,704,831,831
59,704,842,842
60,736,859,859
61,704,870,870
62,736,887,887
63,736,898,898
64,704,915,915
65,704,926,926
66,704,943,943
67,736,954,954
68,704,971,971
69,736,982,982
70,736,999,999
71,736,1010,1010
72,704,1027,1027
73,704,1038,1038
74,736,1055,1055
75,736,1066,1066
76,704,1083,1083
77,736,1094,1094
78,736,1111,1111
79,704,1122,1122
80,704,1139,1139
81,736,1150,1150
82,736,1167,1167
83,736,1178,1178
84,704,1195,1195
85,704,1206,1206
86,704,1223,1223
87,704,1234,1234
88,736,1251,1251
89,704,1262,1262
90,736,1279,1279
91,736,1290,1290
92,736,1307,1307
93,704,1318,1318
94,768,1335,1335
95,800,1346,1346
96,768,1363,1363
97,736,1374,1374
98,832,1391,1391
99,832,1402,1402
100,736,1419,1419
101,1984,1436,1436
102,19808,1457,1457
103,14341344,1472,1472
