HUD frame time nsec:,16677000

Range Index,Elapsed Time, First Event,Last Event
0,7488,1,1
1,13440,3,3
2,8992,24,24
3,10656,65,65
4,704,77,77
5,704,89,89
6,704,101,101
7,704,112,112
8,32288,156,156
9,13152,197,197
10,704,209,209
11,704,221,221
12,736,233,233
13,736,244,244
14,14332896,259,259
