HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,7520,1,1
1,13536,3,3
2,704,24,24
3,3232,65,65
4,736,77,77
5,736,89,89
6,800,101,101
7,768,112,112
8,25920,156,156
9,10464,197,197
10,768,209,209
11,736,221,221
12,736,233,233
13,768,244,244
14,14349376,259,259
