HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,7616,1,1
1,13440,3,3
2,12736,24,24
3,20448,65,65
4,704,77,77
5,736,89,89
6,704,101,101
7,736,112,112
8,16128,156,156
9,10592,197,197
10,736,209,209
11,736,221,221
12,736,233,233
13,704,244,244
14,14362720,259,259
